coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
200,Sheka Kawo Kamina Natural,Flat Track,Heleanna Georgalis,Illubabor,Ethiopia,2000,Natural,,Ethiopia Landraces | Gemadro,Cotton Candy | Strawberries & Cream | Biscoff Cookie
201,"Colombia Huila, ALIMUCAES Womens Project",Form & Function,Alimucaes Womens Project,Huila,Colombia,1900,Washed,,Castillo | Caturra | Colombia,"Orange Blossom, Rose, White Peach"
202,San Isidro 27 - Las Lajas,Fulcrum,Chacón Solano Family,Central Valley,Costa Rica,1650,Natural,,San Isidro 27,"Bright, juicy, cherry, red wine, lemon"
203,Decaf,Fulcrum,,,Colombia,,Swiss Water,,,
204,China Menglian Daya,Fulcrum,,Yunnan,China,,,,,"Balanced, Sweet, Honey, Berry, Black Tea"
205,Los Naranjales,Fulcrum,Mynow Cano,,Guatemala,1500,Washed,Light,Caturra | Catuai | Mundo Novo | Borbon,"Sweet, Strawberry, Raspberry, Yellow Fruit"
206,Doi Saket,Fulcrum,Nui & Aoy,Chiang Mai,Thailand,1300,Washed,,Typica,"Creamy, Lemon, Green Apple, Milk Chocolate"
207,Centroamericano,Fulcrum,Ceciliano Family,,Costa Rica,1350,Natural,Light,Centroamericano | F1 Hybrid,"Bright acidity, round body, orange & cherry yogurt, lime"
208,Colombia,Gaslight Coffee Roasters,,,Colombia,,,,,
209,La Bendicion El Beso la Piedra,George Howell,La Soledad,Acatenango,Guatemala,5150,Washed,,Caturra | Catuai | Bourbon,"Mandarin Orange, Lime, Apple"
210,Yemen,George Howell,,,Yemen,,,,,
211,Alaka,Go Get Em Tiger,Metad,Guji,Ethiopia,2050,Washed,,Heirloom,"Lemon, Cherry, Herbal Tea"
212,La Piramide,Go Get Em Tiger,,Inza,Colombia,1850,Washed,,"Caturra, Typica","Green grape jamminess, apple pie sweetness, crisp"
213,Minor Monuments,Go Get Em Tiger,,San Ignacio | Inza,Blend - Peru | Colombia,,,,,"Dark Chocolate, Toffee, Cherry"
